(66495.75690792763+0j),(66495.75690792757+4.338573944551172e-11j) ,(66495.75690792754+0j)
(-29.04678283901766-123.12797846726566j),(-29.04678283902828+123.12797846731141j) ,(-29.046782839025056+123.1279784672931j)
(34.566248503694574+16.031943947935652j),(34.56624850371807-16.0319439479047j) ,(34.56624850369689-16.031943947945777j)
(-71.8820394250191+70.17220109181436j),(-71.88203942503088-70.17220109179151j) ,(-71.88203942501714-70.17220109180815j)
(60.66967547810377+167.0815969368329j),(60.6696754781048-167.08159693683268j) ,(60.669675478105155-167.08159693683191j)
(-86.33741172484915-18.973194543626533j),(-86.33741172487156+18.97319454363272j) ,(-86.33741172484929+18.97319454362316j)
(128.15880969604433-167.2933269000432j),(128.15880969603856+167.29332690005074j) ,(128.158809696048+167.29332690004924j)
(118.8985736712228-47.82580708430089j),(118.89857367122127+47.825807084296336j) ,(118.89857367123044+47.825807084297935j)
(-81.96593792041298-64.83443590236485j),(-81.96593792036767+64.83443590234539j) ,(-81.96593792041011+64.834435902366j)
(57.22133659304639-17.355806705247485j),(57.22133659313977+17.355806705263163j) ,(57.2213365930494+17.355806705246195j)
(-1.9176696924189258-71.3393875029222j),(-1.917669692349211+71.33938750296703j) ,(-1.9176696924061423+71.33938750291885j)
(-72.53373535864321-62.07090368482824j),(-72.53373535860706+62.07090368489585j) ,(-72.53373535864016+62.07090368481884j)
(28.318232542392252-92.04395269836293j),(28.318232542378816+92.04395269835051j) ,(28.318232542394846+92.04395269836272j)
(-128.4243037010901+12.01870127300895j),(-128.4243037010067-12.018701272950516j) ,(-128.42430370108866-12.018701273012212j)
(-77.35442179024159-63.27155559561943j),(-77.3544217902202+63.271555595686245j) ,(-77.35442179023799+63.27155559561642j)
(82.55198412114143+39.51669939701299j),(82.55198412102516-39.51669939692582j) ,(82.55198412115368-39.51669939700588j)
(3.303979124746796-23.580707601953584j),(3.303979124724126+23.580707601848168j) ,(3.303979124748647+23.58070760195604j)
(94.58216788561656+29.655746962715973j),(94.58216788558482-29.655746962733918j) ,(94.58216788562727-29.655746962728724j)
(41.06382802374928-44.26478228771652j),(41.0638280237775+44.26478228761506j) ,(41.063828023754795+44.2647822877201j)
(-105.36776450525758-88.58596801418133j),(-105.3677645053116+88.5859680140754j) ,(-105.36776450525664+88.58596801418267j)
(46.175731749728676+83.62088920918828j),(46.17573174979652-83.6208892093403j) ,(46.17573174973335-83.620889209176j)
(-19.029570229168485+115.08862375964043j),(-19.029570229128097-115.08862375955509j) ,(-19.02957022916519-115.08862375963393j)
(7.741723557923031+54.05729717239465j),(7.7417235577995065-54.05729717253547j) ,(7.741723557939155-54.05729717239116j)
(117.96476112345951-1.081340525047529j),(117.96476112360774+1.0813405247775023j) ,(117.96476112345562+1.0813405250476222j)
(-3.9325931910759664-39.47485387589278j),(-3.932593190756447+39.47485387607156j) ,(-3.9325931910690546+39.47485387589305j)
(-12.461862814172633+26.139491210127268j),(-12.461862814338264-26.13949120971561j) ,(-12.461862814170551-26.139491210131126j)
(-53.58280733657953+21.707713389125814j),(-53.58280733699864-21.707713389086205j) ,(-53.58280733657632-21.707713389126432j)
(30.54681794890694+93.5982853463047j),(30.546817948830586-93.5982853467742j) ,(30.546817948917692-93.59828534629807j)
(46.95731477501292-121.75902687757537j),(46.957314775106965+121.75902687768782j) ,(46.95731477499997+121.75902687758011j)
(44.36314262792563-114.47366400291j),(44.36314262791761+114.47366400269298j) ,(44.36314262793293+114.4736640029113j)
(-15.63051673442952+9.215664887491489j),(-15.630516734226745-9.215664887314635j) ,(-15.630516734421999-9.215664887494068j)
(53.214933824351924-1.8207332720178107j),(53.214933824274965+1.820733272067951j) ,(53.214933824352556+1.8207332720170932j)
